Method,Method_name,Stage_definition,Model_type,Acc,Macro-F1,E-F1,M-F1,L-F1,M-Pre,M-Rec,M→E,M→L,Rev,Jump,Smooth
B1,Fixed-stage Rule,Fixed-stage,wear-threshold reference,0.6447,0.6145,0.4587,0.597,0.7879,0.5755,0.6202,0.0,0.3798,0,0,0.0132
B2,Relative-stage Proxy Rule,Relative-stage,sensor-derived q_proxy rule,0.5757,0.4871,0.7304,0.0,0.7309,0.0,0.0,0.4806,0.5194,5,11,0.0726
B3,Fixed-stage RF,Fixed-stage,RF,0.9474,0.949,0.9231,0.935,0.9889,0.9829,0.8915,0.1085,0.0,5,0,0.1106
B4,Relative-stage SVM,Relative-stage,SVM,0.8651,0.8695,0.8723,0.8392,0.897,0.8492,0.8295,0.1705,0.0,10,0,0.1574
B5,Relative-stage RF,Relative-stage,RF,0.9803,0.9806,0.9708,0.9764,0.9945,0.992,0.9612,0.031,0.0078,5,0,0.1146
B6,Relative-stage XGBoost,Relative-stage,xgboost,0.8783,0.8765,0.8054,0.8702,0.954,0.7949,0.9612,0.0388,0.0,9,0,0.1397
B7,Relative-stage MLP,Relative-stage,MLP,0.9375,0.9403,0.9767,0.9218,0.9223,0.9825,0.8682,0.031,0.1008,9,0,0.1328
B8,Relative-stage TCN,Relative-stage,TCN,0.7467,0.7399,0.8571,0.5746,0.7879,1.0,0.4031,0.2171,0.3798,7,9,0.0829
B9,Relative-stage GRU,Relative-stage,GRU,0.8816,0.8835,0.8889,0.8378,0.9239,1.0,0.7209,0.1628,0.1163,2,0,0.0452
B10,Relative-stage TCN-GRU,Relative-stage,TCN-GRU,0.8914,0.8947,0.9385,0.8533,0.8922,1.0,0.7442,0.0853,0.1705,8,0,0.083
B11,Multi-task TCN-GRU,Relative-stage,TCN-GRU + auxiliary heads,0.7961,0.7994,0.9231,0.6837,0.7913,1.0,0.5194,0.1085,0.3721,3,1,0.0551
B12,FGDS-PSI,Relative-stage,Proposed,0.8586,0.8674,0.9825,0.8,0.8198,1.0,0.6667,0.0233,0.3101,2,0,0.0402
