ID,Configuration,condition,run_id,relative_tool_life,true_stage,true_stage_id,q_true,q_hat,p_E,p_M,p_L,pred_stage,pred_stage_id,dataset_id,task_id,protocol_id,aggregation_level,uncertainty_type,n_test,test_universe,source_path,status
A1,Temperature-scaled raw stage head,C6,12,0.0,early,0,0.0543003305631503,0.3089219033718109,0.953813135623932,0.0315794050693511,0.0146075133234262,early,0,PHM2010,D1,PHM_D1_FROZEN_B11_B12,run_probability,none,304,run_id_12_315_common_304,figures/fig4_ablation/A1_A6_probability_trajectories.csv,DERIVED
A1,Temperature-scaled raw stage head,C6,13,0.0033003300330033,early,0,0.0607357409228696,0.3115877509117126,0.951775848865509,0.0333299376070499,0.0148942079395055,early,0,PHM2010,D1,PHM_D1_FROZEN_B11_B12,run_probability,none,304,run_id_12_315_common_304,figures/fig4_ablation/A1_A6_probability_trajectories.csv,DERIVED
A1,Temperature-scaled raw stage head,C6,14,0.0066006600660066,early,0,0.0675207371477249,0.3116450011730194,0.9515972137451172,0.0337272845208644,0.0146755445748567,early,0,PHM2010,D1,PHM_D1_FROZEN_B11_B12,run_probability,none,304,run_id_12_315_common_304,figures/fig4_ablation/A1_A6_probability_trajectories.csv,DERIVED
A1,Temperature-scaled raw stage head,C6,15,0.0099009900990099,early,0,0.0746968680474152,0.3112016916275024,0.9504542946815492,0.0348613113164901,0.0146844247356057,early,0,PHM2010,D1,PHM_D1_FROZEN_B11_B12,run_probability,none,304,run_id_12_315_common_304,figures/fig4_ablation/A1_A6_probability_trajectories.csv,DERIVED
A1,Temperature-scaled raw stage head,C6,16,0.0132013201320132,early,0,0.0810622745661246,0.3112077116966247,0.949533462524414,0.035907257348299,0.0145593043416738,early,0,PHM2010,D1,PHM_D1_FROZEN_B11_B12,run_probability,none,304,run_id_12_315_common_304,figures/fig4_ablation/A1_A6_probability_trajectories.csv,DERIVED
A1,Temperature-scaled raw stage head,C6,17,0.0165016501650165,early,0,0.0874276810764199,0.3113152384757995,0.9472925662994384,0.0380431227385997,0.0146643575280904,early,0,PHM2010,D1,PHM_D1_FROZEN_B11_B12,run_probability,none,304,run_id_12_315_common_304,figures/fig4_ablation/A1_A6_probability_trajectories.csv,DERIVED
A1,Temperature-scaled raw stage head,C6,18,0.0198019801980198,early,0,0.0935881687037735,0.3107154369354248,0.9463121891021729,0.0391601957380771,0.0145275713875889,early,0,PHM2010,D1,PHM_D1_FROZEN_B11_B12,run_probability,none,304,run_id_12_315_common_304,figures/fig4_ablation/A1_A6_probability_trajectories.csv,DERIVED
A1,Temperature-scaled raw stage head,C6,19,0.0231023102310231,early,0,0.0995437374397715,0.3122390508651733,0.9430472254753112,0.042189460247755,0.01476333104074,early,0,PHM2010,D1,PHM_D1_FROZEN_B11_B12,run_probability,none,304,run_id_12_315_common_304,figures/fig4_ablation/A1_A6_probability_trajectories.csv,DERIVED
A1,Temperature-scaled raw stage head,C6,20,0.0264026402640264,early,0,0.1052943872844138,0.3116161525249481,0.9423462748527528,0.0428817868232727,0.0147720361128449,early,0,PHM2010,D1,PHM_D1_FROZEN_B11_B12,run_probability,none,304,run_id_12_315_common_304,figures/fig4_ablation/A1_A6_probability_trajectories.csv,DERIVED
A1,Temperature-scaled raw stage head,C6,21,0.0297029702970297,early,0,0.1108401182377004,0.3095173835754394,0.9472349882125854,0.0380217172205448,0.0147432452067732,early,0,PHM2010,D1,PHM_D1_FROZEN_B11_B12,run_probability,none,304,run_id_12_315_common_304,figures/fig4_ablation/A1_A6_probability_trajectories.csv,DERIVED
