ID,Configuration,condition,run_id,relative_tool_life,true_stage,true_stage_id,q_true,q_hat,p_E,p_M,p_L,pred_stage,pred_stage_id
A1,Temperature-scaled raw stage head,C6,12,0.0,early,0,0.0543003305631503,0.3089219033718109,0.9538131356239319,0.031579405069351196,0.014607513323426247,early,0
A1,Temperature-scaled raw stage head,C6,13,0.0033003300330033004,early,0,0.0607357409228696,0.31158775091171265,0.951775848865509,0.03332993760704994,0.014894207939505577,early,0
A1,Temperature-scaled raw stage head,C6,14,0.006600660066006601,early,0,0.0675207371477249,0.3116450011730194,0.9515972137451172,0.03372728452086449,0.014675544574856758,early,0
A1,Temperature-scaled raw stage head,C6,15,0.009900990099009901,early,0,0.0746968680474152,0.31120169162750244,0.9504542946815491,0.03486131131649017,0.014684424735605717,early,0
A1,Temperature-scaled raw stage head,C6,16,0.013201320132013201,early,0,0.0810622745661246,0.31120771169662476,0.9495334625244141,0.035907257348299026,0.014559304341673851,early,0
A1,Temperature-scaled raw stage head,C6,17,0.0165016501650165,early,0,0.0874276810764199,0.31131523847579956,0.9472925662994385,0.03804312273859978,0.014664357528090477,early,0
A1,Temperature-scaled raw stage head,C6,18,0.019801980198019802,early,0,0.0935881687037735,0.3107154369354248,0.9463121891021729,0.039160195738077164,0.014527571387588978,early,0
A1,Temperature-scaled raw stage head,C6,19,0.0231023102310231,early,0,0.0995437374397715,0.31223905086517334,0.9430472254753113,0.04218946024775505,0.014763331040740013,early,0
A1,Temperature-scaled raw stage head,C6,20,0.026402640264026403,early,0,0.1052943872844138,0.3116161525249481,0.9423462748527527,0.042881786823272705,0.014772036112844944,early,0
A1,Temperature-scaled raw stage head,C6,21,0.0297029702970297,early,0,0.1108401182377004,0.30951738357543945,0.9472349882125854,0.038021717220544815,0.014743245206773281,early,0
A1,Temperature-scaled raw stage head,C6,22,0.033003300330033,early,0,0.1161809303080454,0.3078916370868683,0.9496849775314331,0.03578796237707138,0.014526991173624992,early,0
A1,Temperature-scaled raw stage head,C6,23,0.036303630363036306,early,0,0.1213168234786207,0.3078649938106537,0.9508822560310364,0.034465573728084564,0.014652173966169357,early,0
A1,Temperature-scaled raw stage head,C6,24,0.039603960396039604,early,0,0.1262477977578404,0.3084639608860016,0.9514207243919373,0.03375725820660591,0.014822049997746944,early,0
A1,Temperature-scaled raw stage head,C6,25,0.0429042904290429,early,0,0.13117877203706,0.30903297662734985,0.9520650506019592,0.033043503761291504,0.014891460537910461,early,0
A1,Temperature-scaled raw stage head,C6,26,0.0462046204620462,early,0,0.1361097463162796,0.309581995010376,0.9525678753852844,0.03234870359301567,0.015083422884345055,early,0
A1,Temperature-scaled raw stage head,C6,27,0.04950495049504951,early,0,0.1410407205954993,0.3101050853729248,0.9525939226150513,0.032066214829683304,0.01533990353345871,early,0
A1,Temperature-scaled raw stage head,C6,28,0.052805280528052806,early,0,0.1459716948747189,0.31057819724082947,0.9525578022003174,0.03183599188923836,0.01560609508305788,early,0
A1,Temperature-scaled raw stage head,C6,29,0.056105610561056105,early,0,0.1509026691539386,0.3107044994831085,0.9525649547576904,0.031569384038448334,0.01586563140153885,early,0
A1,Temperature-scaled raw stage head,C6,30,0.0594059405940594,early,0,0.1554870761471252,0.3104238212108612,0.9527426958084106,0.03134768083691597,0.015909617766737938,early,0
A1,Temperature-scaled raw stage head,C6,31,0.0627062706270627,early,0,0.1597249158626929,0.31037449836730957,0.9531236290931702,0.03122749924659729,0.015648797154426575,early,0
A1,Temperature-scaled raw stage head,C6,32,0.066006600660066,early,0,0.1636161882838135,0.31071460247039795,0.953166663646698,0.03116650879383087,0.015666846185922623,early,0
A1,Temperature-scaled raw stage head,C6,33,0.06930693069306931,early,0,0.1671608934273151,0.3109871447086334,0.9529496431350708,0.030952977016568184,0.016097458079457283,early,0
A1,Temperature-scaled raw stage head,C6,34,0.07260726072607261,early,0,0.1703590312763698,0.3110054135322571,0.953183114528656,0.030821457505226135,0.0159954521805048,early,0
