sample_id,condition,run_id,true_stage,q_true,q_hat,PC1,PC2
test_C6_00000,C6,12,early,0.0543003305631503,0.3084273636341095,4.046934399116465,6.980221857052491
test_C6_00001,C6,13,early,0.0607357409228696,0.31106698513031,4.069215146212772,6.8822961457829415
test_C6_00002,C6,14,early,0.0675207371477249,0.3111720383167267,4.107013613397809,6.8604846208054955
test_C6_00003,C6,15,early,0.0746968680474152,0.310904860496521,4.1251234470967795,6.77032523964045
test_C6_00004,C6,16,early,0.0810622745661246,0.3110153973102569,4.169671172488136,6.71374801546836
test_C6_00005,C6,17,early,0.0874276810764199,0.3112186789512634,4.216703480749379,6.5832406045167975
test_C6_00006,C6,18,early,0.0935881687037735,0.310677707195282,4.269501238422113,6.534286060108869
test_C6_00007,C6,19,early,0.0995437374397715,0.3121246099472046,4.320644128248379,6.3906148876704485
test_C6_00008,C6,20,early,0.1052943872844138,0.3115330934524536,4.338606733604329,6.3552804158604035
test_C6_00009,C6,21,early,0.1108401182377004,0.3095632791519165,4.254621319351552,6.596329636658187
test_C6_00010,C6,22,early,0.1161809303080454,0.3078551888465881,4.223561743425202,6.7104870158803935
test_C6_00011,C6,23,early,0.1213168234786207,0.3078605234622955,4.178608800271646,6.787666139337792
test_C6_00012,C6,24,early,0.1262477977578404,0.3084187507629394,4.141318475202302,6.835228073652908
test_C6_00013,C6,25,early,0.13117877203706,0.3089019358158111,4.121829132263552,6.870129353309879
test_C6_00014,C6,26,early,0.1361097463162796,0.3093636631965637,4.078482725413853,6.924811812103659
test_C6_00015,C6,27,early,0.1410407205954993,0.3098851144313812,4.033616927442518,6.942588016658872
test_C6_00016,C6,28,early,0.1459716948747189,0.3103255033493042,3.9903866975330518,6.9589600466345995
test_C6_00017,C6,29,early,0.1509026691539386,0.3104191422462463,3.9461100945359413,6.975022917586616
test_C6_00018,C6,30,early,0.1554870761471252,0.3101087212562561,3.9296923060803297,6.982925415982906
test_C6_00019,C6,31,early,0.1597249158626929,0.3100453317165375,3.948286355184682,6.99717443186732
test_C6_00020,C6,32,early,0.1636161882838135,0.3103636801242828,3.940601438988637,7.013237015849034
test_C6_00021,C6,33,early,0.1671608934273151,0.3106437027454376,3.8880794071598745,7.0533085088110425
test_C6_00022,C6,34,early,0.1703590312763698,0.3106451332569122,3.8912663952663937,7.061543672974495
test_C6_00023,C6,35,early,0.1732106018478054,0.310836911201477,3.870631420614428,7.0688439968860175
test_C6_00024,C6,36,early,0.175715605133208,0.3107473850250244,3.8675628781432825,7.070250117159185
test_C6_00025,C6,37,early,0.1782206084186106,0.3106285333633423,3.8620635987871577,7.070666763033173
test_C6_00026,C6,38,early,0.1807256117040133,0.3103064596652984,3.8642733114939944,7.082744862079017
test_C6_00027,C6,39,early,0.183230614989416,0.3101058006286621,3.868078118834522,7.080652871673245
test_C6_00028,C6,40,early,0.1857356182748186,0.3101069331169128,3.8735102452247903,7.083121567448515
test_C6_00029,C6,41,early,0.1882406215602211,0.3101134896278381,3.8805335545586765,7.0740681903812215
test_C6_00030,C6,42,early,0.1907456248456237,0.3096126914024353,3.8845366047513,7.080613674026773
test_C6_00031,C6,43,early,0.1932506281226124,0.3096719980239868,3.8749326277725973,7.0932192712691275
test_C6_00032,C6,44,early,0.195755631408015,0.3094338774681091,3.8718273864085293,7.094388148152513
test_C6_00033,C6,45,early,0.1982606346850036,0.3091960549354553,3.8798734822254293,7.1049253853758385
test_C6_00034,C6,46,early,0.2007656379704062,0.3092656135559082,3.882892916409813,7.104876912188321
test_C6_00035,C6,47,early,0.2032706412810509,0.3092714846134186,3.886240594136446,7.106555040257527
test_C6_00036,C6,48,early,0.2057756445412115,0.309207022190094,3.887003541843284,7.103429008625491
test_C6_00037,C6,49,early,0.2082806478266142,0.3094585835933685,3.885477789101386,7.106682666361565
test_C6_00038,C6,50,early,0.2107856511456729,0.3095962703227997,3.8863027232378977,7.101820759740802
test_C6_00039,C6,51,early,0.2132906544058334,0.3097080886363983,3.8752075054785924,7.096296549736712
test_C6_00040,C6,52,early,0.21579565769965,0.3098490238189697,3.873417765470974,7.0915416477647
test_C6_00041,C6,53,early,0.2183006610187089,0.3103300333023071,3.854088219697043,7.092983985827567
test_C6_00042,C6,54,early,0.2208056642536273,0.3105683028697967,3.8434223029859766,7.086198927563446
test_C6_00043,C6,55,early,0.2233106675726861,0.310672789812088,3.8332768760806255,7.069341975678866
test_C6_00044,C6,56,early,0.2258156708917448,0.3110683560371399,3.831635115600249,7.055812797953422
test_C6_00045,C6,57,early,0.2283206741266631,0.3117004930973053,3.8256709375489546,7.0322681491590435
test_C6_00046,C6,58,early,0.230825677445722,0.3120752274990082,3.820257830871975,7.033016527437843
test_C6_00047,C6,59,early,0.2333306806806404,0.312471330165863,3.8097764100549494,7.005171831827883
test_C6_00048,C6,60,early,0.2358356839155588,0.312720388174057,3.838728595105119,6.989143358435473
test_C6_00049,C6,61,early,0.2383406872346176,0.3130659461021423,3.8258885942877234,6.9716333872635055
test_C6_00050,C6,62,early,0.2405333421859526,0.3128034472465515,3.853890284448255,6.95585369313086
test_C6_00051,C6,63,early,0.2424136488537044,0.3135460913181305,3.8323580299198188,6.927572215038258
test_C6_00052,C6,64,early,0.2439816073220131,0.3136996626853943,3.8475244080764894,6.920425488556316
test_C6_00053,C6,65,early,0.2452372175067385,0.3148799538612366,3.755451053841283,6.87706695440599
test_C6_00054,C6,66,early,0.2461804794078805,0.3154285848140716,3.756315322330638,6.834209272060579
test_C6_00055,C6,67,early,0.2468113930254392,0.3167695999145508,3.7304981295331094,6.723367571191977
test_C6_00056,C6,68,early,0.2471427694933539,0.3171189725399017,3.742497759251194,6.634248094589921
test_C6_00057,C6,69,early,0.2479090181565044,0.3198026716709137,3.7217112167847177,6.479594829882652
test_C6_00058,C6,70,early,0.2490971012066999,0.322272777557373,3.743175988184214,6.277724943387876
test_C6_00059,C6,71,early,0.2506934927372599,0.3247813880443573,3.7698420164848714,6.04826709993289
test_C6_00060,C6,72,early,0.252684213072299,0.3267357051372528,3.844001659348389,5.865536082915952
test_C6_00061,C6,73,early,0.255054863769136,0.332132339477539,3.888192373481972,5.51534027479734
test_C6_00062,C6,74,early,0.2577906625365613,0.3342868983745575,3.9502021141295462,5.268881660608986
test_C6_00063,C6,75,early,0.2608636681129916,0.3358736336231231,4.03652047854945,4.972693523590613
test_C6_00064,C6,76,early,0.2638363774010046,0.3343976736068725,3.9778026272701963,5.128951139403604
test_C6_00065,C6,77,early,0.266706110107996,0.3348401188850403,4.101774265098747,4.9034661837527995
test_C6_00066,C6,78,early,0.2694704346603989,0.3335302770137787,4.068050315473802,5.179534344484743
test_C6_00067,C6,79,early,0.2721271695499306,0.3345688879489898,4.111171999413187,5.099198080229907
test_C6_00068,C6,80,early,0.2746743849322597,0.331474095582962,4.093852381441785,5.397887552578215
test_C6_00069,C6,81,early,0.2771104033001299,0.3312467634677887,4.114166725882838,5.337918079787479
test_C6_00070,C6,82,early,0.2794337993150789,0.3298847079277038,4.108462203369279,5.505520350955425
test_C6_00071,C6,83,early,0.2816433994708767,0.3303164541721344,4.144665062271217,5.4273582589258025
test_C6_00072,C6,84,early,0.2837382809997008,0.3304624557495117,4.148227545584633,5.480992255588347
test_C6_00073,C6,85,early,0.2857177701051873,0.3311319649219513,4.186258384047196,5.400577651048573
test_C6_00074,C6,86,early,0.2875814402796224,0.3310000300407409,4.230461381849144,5.2823610399106204
test_C6_00075,C6,87,early,0.2893291093590293,0.3271334767341614,4.11173678136033,5.650050076987842
test_C6_00076,C6,88,early,0.2909608366623936,0.3313663303852081,4.236561092776253,5.128677838317572
test_C6_00077,C6,89,early,0.292476919541907,0.3301905691623688,4.2271737204894,5.3605452837012
test_C6_00078,C6,90,early,0.2938778895966487,0.3326277434825897,4.306877045784051,4.783294621996561
test_C6_00079,C6,91,early,0.2951645082131444,0.3338396549224853,4.1988429959646645,5.18263130517269
test_C6_00080,C6,92,early,0.2963377620217843,0.3341951370239258,4.299491129198502,4.638610488560847
test_C6_00081,C6,93,early,0.2973988580166796,0.3337473571300506,4.264536151608892,4.892233563685533
test_C6_00082,C6,94,early,0.2983492180865358,0.3332902491092682,4.429674472528214,4.159440021988625
test_C6_00083,C6,95,early,0.2991904732089655,0.3352212309837341,4.362091756597233,4.34165810063776
test_C6_00084,C6,96,middle,0.2999244579813612,0.3372643291950226,4.496482329811446,3.463859333883156
test_C6_00085,C6,97,middle,0.3005532038896633,0.3408200144767761,4.593298292902781,2.6994130418858786
test_C6_00086,C6,98,middle,0.3010789330819709,0.3408096730709076,4.697872976729759,2.1598888912719305
test_C6_00087,C6,99,middle,0.3015040515531672,0.3495660126209259,4.833888740813962,0.06758012240435379
test_C6_00088,C6,100,middle,0.3018311420771272,0.3529260158538818,4.843188334150908,-0.44200954103143986
test_C6_00089,C6,101,middle,0.3020690494932344,0.3589408993721008,4.786196083578264,-1.1290783759192422
test_C6_00090,C6,102,middle,0.3022325432192163,0.3645730018615722,4.7532824535235285,-1.6429093258615104
test_C6_00091,C6,103,middle,0.302336046771595,0.3776892423629761,4.582825544931734,-2.377743918012043
test_C6_00092,C6,104,middle,0.3023936126918466,0.3847452104091644,4.462755823107931,-2.652275826789773
test_C6_00093,C6,105,middle,0.302418898229824,0.388908177614212,4.308264243009432,-2.6962197669175443
test_C6_00094,C6,106,middle,0.3024251420368648,0.3939142525196075,4.155296178282661,-2.630658162860526
test_C6_00095,C6,107,middle,0.3024251420368648,0.3973129093647003,4.069385927385194,-2.6600197259254235
test_C6_00096,C6,108,middle,0.3024251420368648,0.3809111416339874,4.013159067562159,-1.47766490844411
test_C6_00097,C6,109,middle,0.3024251420368648,0.3916327655315399,4.05186450688869,-2.1079227094731916
test_C6_00098,C6,110,middle,0.3024251420368648,0.3874472081661224,4.0641571896278075,-1.6139108190915805
