run_id,relative_life,VB_true,q_true,q_pred,true_stage,pred_stage,prob_early,prob_middle,prob_late
12,0.0,74.13432456,0.0543003305631503,0.30841658,early,early,0.8571933928641817,0.1246946604703047,0.0181119466645134
13,0.0033003300330033004,75.21507024,0.0607357409228696,0.3110891,early,early,0.8552844475598358,0.1263062153499642,0.0184093370891999
14,0.006600660066006601,76.29581591,0.0675207371477249,0.31120992,early,early,0.8552704646963528,0.1265440276320479,0.0181855076705991
15,0.009900990099009901,77.37656158,0.0746968680474152,0.31091222,early,early,0.8543139878912774,0.1275398156417537,0.0181461964659689
16,0.013201320132013201,78.45730726,0.0810622745661246,0.31094438,early,early,0.8534100883684216,0.1285780927085751,0.0180118189220033
17,0.0165016501650165,79.53805293,0.0874276810764199,0.31115308,early,early,0.8512030084726768,0.1307294032588705,0.0180675882674526
18,0.019801980198019802,80.6187986,0.0935881687037735,0.31056365,early,early,0.8506145122604142,0.1314792792488678,0.0179062084897179
19,0.0231023102310231,81.69954428,0.0995437374397715,0.3120317,early,early,0.8471873413239422,0.1347495360587651,0.0180631226162926
20,0.026402640264026403,82.78028995,0.1052943872844138,0.31146237,early,early,0.8468530516378745,0.135091511460954,0.0180554369001716
21,0.0297029702970297,83.61749165,0.1108401182377004,0.30944452,early,early,0.8520762230046783,0.1298127923069768,0.0181109846873448
22,0.033003300330033,84.45469334,0.1161809303080454,0.30778018,early,early,0.8551142214844716,0.1269441882057655,0.0179415903087629
23,0.036303630363036306,85.29189504,0.1213168234786207,0.30768856,early,early,0.8563332989130121,0.1255760383181796,0.0180906627678082
24,0.039603960396039604,86.12909673,0.1262477977578404,0.3082663,early,early,0.856599386888143,0.1251243361928062,0.0182762769180508
25,0.0429042904290429,86.96629843,0.13117877203706,0.30879354,early,early,0.8569651177039966,0.1246698935402352,0.018364988754768
26,0.0462046204620462,87.80350012,0.1361097463162796,0.30929556,early,early,0.8572830246715882,0.1241511284281319,0.0185658468992799
27,0.04950495049504951,88.64070181,0.1410407205954993,0.30984277,early,early,0.8570918998430154,0.1240832744322589,0.0188248257237257
28,0.052805280528052806,89.47790351,0.1459716948747189,0.31028926,early,early,0.8569078014468149,0.1240050827387425,0.0190871158134426
