Method,Method_name,Stage_definition,Model_type,Acc,Macro-F1,E-F1,M-F1,L-F1,M-Pre,M-Rec,M→E,M→L,Rev,Jump,Smooth
B1,Fixed-stage Rule,Fixed-stage,wear-threshold reference,0.6447,0.6145,0.4587,0.597,0.7879,0.5755,0.6202,0.0,0.3798,0,0,0.0132
B2,Relative-stage Proxy Rule,Relative-stage,sensor-derived q_proxy rule,0.5757,0.4872,0.7336,0.0,0.728,0.0,0.0,0.4729,0.5271,6,13,0.0858
B3,Fixed-stage RF,Fixed-stage,RF,0.9638,0.9647,0.9492,0.9562,0.9889,0.9836,0.9302,0.0698,0.0,6,0,0.111
B4,Relative-stage SVM,Relative-stage,SVM,0.8651,0.8695,0.8723,0.8392,0.897,0.8492,0.8295,0.1705,0.0,10,0,0.1588
B5,Relative-stage RF,Relative-stage,RF,0.9803,0.9806,0.9708,0.9766,0.9945,0.9843,0.969,0.031,0.0,5,0,0.1152
B6,Relative-stage XGBoost,Relative-stage,xgboost,0.8783,0.8765,0.8054,0.8702,0.954,0.7949,0.9612,0.0388,0.0,9,0,0.1418
B7,Relative-stage MLP,Relative-stage,MLP,0.9507,0.9521,0.96,0.9393,0.957,0.9831,0.8992,0.0543,0.0465,10,1,0.138
B8,Relative-stage TCN,Relative-stage,TCN,0.898,0.9028,0.9524,0.8681,0.8878,0.9623,0.7907,0.031,0.1783,10,0,0.144
B9,Relative-stage GRU,Relative-stage,GRU,0.8421,0.8434,0.8557,0.7736,0.901,0.988,0.6357,0.2093,0.155,3,0,0.0547
B10,Relative-stage TCN-GRU,Relative-stage,TCN-GRU,0.773,0.7683,0.8155,0.6349,0.8545,1.0,0.4651,0.2946,0.2403,2,0,0.0381
B11,Multi-task TCN-GRU,Relative-stage,TCN-GRU + auxiliary heads,0.8783,0.8865,0.9882,0.8326,0.8387,1.0,0.7132,0.0155,0.2713,1,0,0.0365
B12,FGDS-PSI,Relative-stage,Proposed,0.8849,0.892,0.9825,0.843,0.8505,1.0,0.7287,0.0233,0.2481,1,0,0.0306
