sample_id,PC1,PC2,true_stage,pred_stage,q_true,q_hat,uncertainty,entropy,misclassified
test_C6_00000,4.832819215349779,3.9082127778841023,early,early,0.0543003305631503,0.3084273636341095,0.0461476445198059,0.1965130298325786,0
test_C6_00001,4.8117580910169755,3.8189081552009507,early,early,0.0607357409228696,0.31106698513031,0.0482465028762817,0.203180241515489,0
test_C6_00002,4.832142917433072,3.796133100816002,early,early,0.0675207371477249,0.3111720383167267,0.0484397411346435,0.2036121072221683,0
test_C6_00003,4.8391837425856865,3.7448685640783026,early,early,0.0746968680474152,0.310904860496521,0.0496083498001098,0.2071509781286998,0
test_C6_00004,4.852601052255622,3.6983275516840424,early,early,0.0810622745661246,0.3110153973102569,0.0505555868148803,0.2098957261271078,0
test_C6_00005,4.84968621447294,3.6094451863195447,early,early,0.0874276810764199,0.3112186789512634,0.0527896285057067,0.2165769490309667,0
test_C6_00006,4.862275177503733,3.565727705836902,early,early,0.0935881687037735,0.310677707195282,0.0537400245666503,0.21922253339302,0
test_C6_00007,4.848302528038246,3.4559518688358897,early,early,0.0995437374397715,0.3121246099472046,0.0568971037864685,0.2284663448593353,0
test_C6_00008,4.847625538700611,3.4318761349169513,early,early,0.1052943872844138,0.3115330934524536,0.0575834512710571,0.2304107442473783,0
test_C6_00009,4.846342423914491,3.6118895929882755,early,early,0.1108401182377004,0.3095632791519165,0.0527806282043457,0.216610518994033,0
test_C6_00010,4.862456533951702,3.706269763043214,early,early,0.1161809303080454,0.3078551888465881,0.0503323674201965,0.2092011466367392,0
test_C6_00011,4.848226346086184,3.766399598224053,early,early,0.1213168234786207,0.3078605234622955,0.0491482615470886,0.2057455699294764,0
test_C6_00012,4.831538984775089,3.8007977657490675,early,early,0.1262477977578404,0.3084187507629394,0.0486125349998474,0.2042505061925285,0
test_C6_00013,4.823814456816871,3.834548219036228,early,early,0.13117877203706,0.3089019358158111,0.047972023487091,0.202342267419247,0
test_C6_00014,4.8050991331490875,3.871341333718465,early,early,0.1361097463162796,0.3093636631965637,0.047417402267456,0.2007684939870773,0
test_C6_00015,4.781020563383253,3.88640254960732,early,early,0.1410407205954993,0.3098851144313812,0.0473523139953613,0.2007389659832004,0
test_C6_00016,4.758280845792633,3.898353746862016,early,early,0.1459716948747189,0.3103255033493042,0.0473459959030151,0.2008889525090942,0
test_C6_00017,4.737384804461544,3.9112411659098303,early,early,0.1509026691539386,0.3104191422462463,0.0473248362541198,0.2009770889212174,0
test_C6_00018,4.7333872615841655,3.922035285523418,early,early,0.1554870761471252,0.3101087212562561,0.0471343398094177,0.2004035511885877,0
test_C6_00019,4.7513046211910135,3.9270435564085955,early,early,0.1597249158626929,0.3100453317165375,0.0467516779899597,0.1990551237630377,0
test_C6_00020,4.749471617618869,3.929612266151025,early,early,0.1636161882838135,0.3103636801242828,0.0467123389244079,0.1989452041748804,0
test_C6_00021,4.719694096417926,3.9443132275453805,early,early,0.1671608934273151,0.3106437027454376,0.04694265127182,0.1999235210621718,0
test_C6_00022,4.726403285348329,3.9502203972387617,early,early,0.1703590312763698,0.3106451332569122,0.0467088222503662,0.1991327890594084,0
test_C6_00023,4.715794193757207,3.953874356845214,early,early,0.1732106018478054,0.310836911201477,0.0467740297317504,0.1994200123070416,0
test_C6_00024,4.716589392152669,3.955889127349843,early,early,0.175715605133208,0.3107473850250244,0.0467064976692199,0.1991964702620736,0
test_C6_00025,4.7146735461697045,3.9618848484205227,early,early,0.1782206084186106,0.3106285333633423,0.0465788841247558,0.1987976048463602,0
test_C6_00026,4.719551994138941,3.9679305627384336,early,early,0.1807256117040133,0.3103064596652984,0.0464056730270385,0.1982158882500016,0
test_C6_00027,4.7221122415218515,3.968198896478421,early,early,0.183230614989416,0.3101058006286621,0.0463589429855346,0.1980483775252061,0
test_C6_00028,4.723498619577808,3.9650093457923847,early,early,0.1857356182748186,0.3101069331169128,0.0464077591896057,0.1981936981653242,0
test_C6_00029,4.726984812642495,3.9641980982965057,early,early,0.1882406215602211,0.3101134896278381,0.0463561415672302,0.1980007692139484,0
test_C6_00030,4.731631592489928,3.9677146690895353,early,early,0.1907456248456237,0.3096126914024353,0.0462235212326049,0.1975407047382935,0
test_C6_00031,4.7259448990714334,3.9710258652811716,early,early,0.1932506281226124,0.3096719980239868,0.0462206006050109,0.1975663942373026,0
test_C6_00032,4.726930126975826,3.974536980143941,early,early,0.195755631408015,0.3094338774681091,0.0461300611495971,0.1972708022352405,0
test_C6_00033,4.7358057797492235,3.9799220147331855,early,early,0.1982606346850036,0.3091960549354553,0.0459153652191162,0.1965273530168202,0
test_C6_00034,4.735865311591843,3.977160939848188,early,early,0.2007656379704062,0.3092656135559082,0.0459669828414917,0.1966911744365838,0
test_C6_00035,4.735839344969892,3.9744961935989562,early,early,0.2032706412810509,0.3092714846134186,0.0460339188575744,0.1969031738397055,0
test_C6_00036,4.735161506279835,3.974367983007111,early,early,0.2057756445412115,0.309207022190094,0.0460497736930847,0.196961727993466,0
test_C6_00037,4.7322775744722545,3.9714375165177933,early,early,0.2082806478266142,0.3094585835933685,0.0461469888687133,0.1972901439594152,0
test_C6_00038,4.732138646433401,3.967493303046805,early,early,0.2107856511456729,0.3095962703227997,0.0462104082107543,0.1974911297019269,0
test_C6_00039,4.723339360682481,3.963536712724866,early,early,0.2132906544058334,0.3097080886363983,0.0464305281639099,0.1982578676583613,0
test_C6_00040,4.72138057649691,3.961820057798298,early,early,0.21579565769965,0.3098490238189697,0.0464770197868347,0.1984166841018131,0
test_C6_00041,4.706813339284425,3.9556868541748966,early,early,0.2183006610187089,0.3103300333023071,0.0468131899833679,0.1995932604437065,0
test_C6_00042,4.698741172572426,3.9528581631034703,early,early,0.2208056642536273,0.3105683028697967,0.0469685196876525,0.2001384773347676,0
test_C6_00043,4.690402380750569,3.9468346048307223,early,early,0.2233106675726861,0.310672789812088,0.0472220182418823,0.2010054368900289,0
test_C6_00044,4.687367735928056,3.9416795255908372,early,early,0.2258156708917448,0.3110683560371399,0.0473344326019287,0.2013737977211217,0
test_C6_00045,4.67955039227787,3.928713431614934,early,early,0.2283206741266631,0.3117004930973053,0.0476863384246826,0.2025409744733566,0
test_C6_00046,4.6745163633063065,3.928911557227964,early,early,0.230825677445722,0.3120752274990082,0.0477415919303894,0.2027435335959554,0
test_C6_00047,4.658241443972583,3.913048465377215,early,early,0.2333306806806404,0.312471330165863,0.0482946634292602,0.204603540131393,0
test_C6_00048,4.674397713600565,3.9020977923048616,early,early,0.2358356839155588,0.312720388174057,0.0482385158538818,0.2042958900698699,0
test_C6_00049,4.6615903373990895,3.888688537548962,early,early,0.2383406872346176,0.3130659461021423,0.0487136840820312,0.2058888017718926,0
test_C6_00050,4.6807271847565,3.8820271492527603,early,early,0.2405333421859526,0.3128034472465515,0.0485752820968627,0.2053041554333028,0
test_C6_00051,4.655856615687602,3.8623767007886776,early,early,0.2424136488537044,0.3135460913181305,0.04933363199234,0.2078544417911122,0
test_C6_00052,4.662863606975684,3.851498428733859,early,early,0.2439816073220131,0.3136996626853943,0.0494666695594787,0.2082124807062884,0
test_C6_00053,4.583868392354054,3.809472098027257,early,early,0.2452372175067385,0.3148799538612366,0.0516196489334106,0.2154753659520202,0
test_C6_00054,4.585454114455186,3.787848328212842,early,early,0.2461804794078805,0.3154285848140716,0.0521215200424194,0.2170084756471099,0
test_C6_00055,4.556273390454688,3.727534207997926,early,early,0.2468113930254392,0.3167695999145508,0.0538855791091918,0.2225890649255231,0
test_C6_00056,4.547061321494656,3.6679004566133835,early,early,0.2471427694933539,0.3171189725399017,0.0554727911949157,0.2274251470230437,0
test_C6_00057,4.505256125043876,3.571276056080017,early,early,0.2479090181565044,0.3198026716709137,0.0584779977798461,0.2366634923499183,0
test_C6_00058,4.47180714388133,3.437023761855556,early,early,0.2490971012066999,0.322272777557373,0.0626600980758667,0.2490344103030613,0
test_C6_00059,4.43892900192884,3.2840769918389667,early,early,0.2506934927372599,0.3247813880443573,0.0679030418395996,0.2639937283902627,0
test_C6_00060,4.43217724705878,3.150507253455429,early,early,0.252684213072299,0.3267357051372528,0.0724185109138488,0.2762038631748449,0
test_C6_00061,4.3543691693651105,2.8940664667328515,early,early,0.255054863769136,0.332132339477539,0.0835296511650085,0.3057685430841252,0
test_C6_00062,4.3257256073685655,2.725395169598898,early,early,0.2577906625365613,0.3342868983745575,0.0915073156356811,0.3254910252399808,0
test_C6_00063,4.283943207000477,2.499543890860583,early,early,0.2608636681129916,0.3358736336231231,0.1043917536735534,0.3557881678343142,0
test_C6_00064,4.30634264304196,2.6279033562804024,early,early,0.2638363774010046,0.3343976736068725,0.0965899229049682,0.3377871533844985,0
test_C6_00065,4.289552052059736,2.429670558041587,early,early,0.266706110107996,0.3348401188850403,0.1084077358245849,0.3645226517519011,0
test_C6_00066,4.356250699581478,2.6515543904860217,early,early,0.2694704346603989,0.3335302770137787,0.0944961905479431,0.3319578344161015,0
test_C6_00067,4.360406636574823,2.592202978938968,early,early,0.2721271695499306,0.3345688879489898,0.097325325012207,0.3383288030431206,0
test_C6_00068,4.431186794619743,2.793554206826835,early,early,0.2746743849322597,0.331474095582962,0.0862999558448791,0.3111663218727576,0
test_C6_00069,4.415701636843145,2.753637778400281,early,early,0.2771104033001299,0.3312467634677887,0.0883027911186218,0.3162186352232896,0
test_C6_00070,4.456047547969486,2.8627361017154396,early,early,0.2794337993150789,0.3298847079277038,0.0826901197433471,0.3019191330647036,0
test_C6_00071,4.453437158207065,2.8124172747987672,early,early,0.2816433994708767,0.3303164541721344,0.0850139856338501,0.307636552156213,0
