condition,run_id,split,q_true,rate_norm,fine_state
C6,1,test,0.0,0.281032273158815,0
C6,2,test,0.0033178548262754776,0.30740768162801674,0
C6,3,test,0.006448195025190741,0.40651855345804894,0
C6,4,test,0.009404493707425627,0.5533384677312693,0
C6,5,test,0.015545728874198198,0.6009883001081798,0
C6,6,test,0.02116028831117613,0.6424144392546022,0
C6,7,test,0.026300326574668048,0.7108421973703525,0
C6,8,test,0.031014849148525144,0.6991775422923474,0
C6,9,test,0.03658790262851232,0.7062277660941101,0
C6,10,test,0.04228306820335317,0.7321960398466347,0
C6,11,test,0.048167236165679576,0.7771970056446064,0
C6,12,test,0.0543003305631503,0.8088891324985289,0
C6,13,test,0.06073574092286961,0.847616160767919,0
C6,14,test,0.06752073714772493,0.8602004791612321,0
C6,15,test,0.07469686804741528,0.8662754071894041,0
C6,16,test,0.08106227456612462,0.8590862176455469,0
C6,17,test,0.08742768107641992,0.8373968092107805,0
C6,18,test,0.09358816870377357,0.8001206865426573,0
C6,19,test,0.09954373743977155,0.778686289490126,0
C6,20,test,0.10529438728441383,0.7518932936145147,0
C6,21,test,0.11084011823770042,0.7251002972988531,0
C6,22,test,0.1161809303080454,0.6983073009831929,0
C6,23,test,0.1213168234786207,0.676872903930664,0
C6,24,test,0.1262477977578404,0.6607971061412682,0
C6,25,test,0.13117877203706002,0.6500799073949803,0
C6,26,test,0.13610974631627965,0.6447213081318476,0
C6,27,test,0.14104072059549935,0.6447213081318458,0
C6,28,test,0.14597169487471898,0.635658623909438,0
C6,29,test,0.1509026691539386,0.6175332556846506,0
C6,30,test,0.1554870761471252,0.5903452030174255,0
C6,31,test,0.1597249158626929,0.5540944663478223,0
C6,32,test,0.1636161882838135,0.5087810452357882,0
C6,33,test,0.16716089342731516,0.46346762434377575,0
C6,34,test,0.17035903127636987,0.4181542032317372,0
C6,35,test,0.17321060184780543,0.38190346656213403,0
C6,36,test,0.17571560513320805,0.3547154138949134,0
C6,37,test,0.17822060841861068,0.33659004567012163,0
C6,38,test,0.18072561170401338,0.32752736144771594,0
C6,39,test,0.183230614989416,0.32752736144771377,0
C6,40,test,0.18573561827481863,0.3275273614477116,0
C6,41,test,0.18824062156022117,0.32752736122768766,0
