condition,run_id,VB,VB_smooth,q_true,rate_norm,stage,stage_id,fine_state_true
C1,1,48.89261732,49.962487915,0.0,0.1690209935655249,early,0,0
C1,2,49.57081504,50.420056176,0.003747849000265095,0.23506011120435402,early,0,0
C1,3,50.30286727,51.397174416666665,0.011751226711428704,0.3340522427368041,early,0,0
C1,4,51.08365203,52.62280887285714,0.02179015043678708,0.5042503305922323,early,0,0
C1,5,52.25032922,54.68833324142857,0.038708442415464187,0.6628996623169958,early,0,0
C1,6,56.28276562,57.09612979285714,0.05843021655773405,0.8024442773877913,early,0,0
C1,7,59.97661561,59.79811406714286,0.08056162278547854,0.9356283015278998,early,0,0
C1,8,63.3512879,62.74937342285715,0.10473479074442632,0.9893517393512787,early,0,0
C1,9,66.4253909,65.85916555714286,0.13020646860084742,0.9999999999568503,early,0,0
C1,10,69.21675719,68.68471672714286,0.15334998625772928,0.9721311074806916,early,0,0
C1,11,71.74246752,71.24315448428571,0.17430563202169147,0.910028931289934,early,0,0
C1,12,74.01887416,73.55087684857143,0.19320771875510137,0.8211684965588677,early,0,0
C1,13,76.06162381,75.62357518428571,0.2101847712464187,0.7378617797293429,early,0,0
C1,14,77.88567991,77.47625655428571,0.22535970930962534,0.6598667422251328,early,0,0
C1,15,79.50534445,79.12326554428572,0.2388500265425312,0.5869490627918675,early,0,0
C1,16,80.93427925,80.57830558,0.25076796493117615,0.5188819562373194,early,0,0
C1,17,82.18552678,81.85445973285714,0.2612206852652242,0.4554459949991227,early,0,0
C1,18,83.27153045,82.96421103142858,0.27031043350476347,0.39642893404486623,early,0,0
C1,19,84.20415441,83.91946229142857,0.2781347032038214,0.3416255379937412,early,0,0
C1,20,84.99470288,84.73155546285714,0.284786393978896,0.2908374123783836,early,0,0
C1,21,85.653939,85.41129050142857,0.290353966081007,0.24387283712828353,early,0,0
C1,22,86.19210327,85.96894378714286,0.2949215912584859,0.20054660308261393,early,0,0
C1,23,86.61893145,86.41428608000001,0.2985692998285967,0.16068268716151665,early,0,0
C1,24,86.94367205,86.75660003714286,0.30137312415690737,0.12474026880367269,early,0,0
C1,25,87.17510345,87.0047374057143,0.30340556711240524,0.09311722500702865,early,0,0
C1,26,87.32155046,87.17599416428571,0.304808296554342,0.0661537813741193,early,0,0
C1,27,87.39090058,87.28627546857145,0.3057115883934917,0.04413602128004362,early,0,0
C1,28,87.39090058,87.35016525857142,0.30623489673016535,0.02729642328983847,early,0,0
C1,29,87.39090058,87.38099342,0.30648740395987917,0.01519092674201774,early,0,0
C1,30,87.39090058,87.39090058,0.3065685515019318,0.0073955558646489235,early,0,0
C1,31,87.39090058,87.39090058,0.3065685515019318,0.0028794267568846817,early,0,0
C1,32,87.39090058,87.39090058,0.3065685515019318,0.0007002999016160401,early,0,0
C1,33,87.39090058,87.39090058,0.3065685515019318,0.0,early,0,0
C1,34,87.39090058,87.39090058,0.3065685515019318,0.0,early,0,0
C1,35,87.39090058,87.39090058,0.3065685515019318,0.0,early,0,0
