run_id,VB_true,VB_smooth,q_true,q_pred,q_pred_norm,true_stage,pred_stage,prob_early,prob_middle,prob_late,max_prob,dominant_prob_stage
12,74.13432456,73.9135510757143,0.0543003305631503,0.30841658,0.0017306665255505335,early,early,0.8571933928641817,0.1246946604703047,0.0181119466645134,0.8571933928641817,early
13,75.21507024,75.00618229857143,0.06073574092286961,0.3110891,0.008083844876233698,early,early,0.8552844475598358,0.1263062153499642,0.0184093370891999,0.8552844475598358,early
14,76.29581591,76.15816769,0.06752073714772493,0.31120992,0.00837106106482324,early,early,0.8552704646963528,0.1265440276320479,0.0181855076705991,0.8552704646963528,early
15,77.37656158,77.37656158285714,0.07469686804741528,0.31091222,0.007663361517205975,early,early,0.8543139878912774,0.1275398156417537,0.0181461964659689,0.8543139878912774,early
16,78.45730726,78.45730725714286,0.08106227456612462,0.31094438,0.0077398130370292095,early,early,0.8534100883684216,0.1285780927085751,0.0180118189220033,0.8534100883684216,early
17,79.53805293,79.53805293,0.08742768107641992,0.31115308,0.008235939659762662,early,early,0.8512030084726768,0.1307294032588705,0.0180675882674526,0.8512030084726768,early
18,80.6187986,80.58400660714287,0.09358816870377357,0.31056365,0.00683473259106227,early,early,0.8506145122604142,0.1314792792488678,0.0179062084897179,0.8506145122604142,early
19,81.69954428,81.59516828714287,0.09954373743977155,0.3120317,0.010324616100903308,early,early,0.8471873413239422,0.1347495360587651,0.0180631226162926,0.8471873413239422,early
20,82.78028995,82.57153797000001,0.10529438728441383,0.31146237,0.008971191232092354,early,early,0.8468530516378745,0.135091511460954,0.0180554369001716,0.8468530516378745,early
21,83.61749165,83.51311565571429,0.11084011823770042,0.30944452,0.00417431003572118,early,early,0.8520762230046783,0.1298127923069768,0.0181109846873448,0.8520762230046783,early
22,84.45469334,84.41990134571428,0.1161809303080454,0.30778018,0.00021780125143672674,early,early,0.8551142214844716,0.1269441882057655,0.0179415903087629,0.8551142214844716,early
23,85.29189504,85.29189503714285,0.1213168234786207,0.30768856,0.0,early,early,0.8563332989130121,0.1255760383181796,0.0180906627678082,0.8563332989130121,early
24,86.12909673,86.12909673142858,0.1262477977578404,0.3082663,0.0013734173216004494,early,early,0.856599386888143,0.1251243361928062,0.0182762769180508,0.856599386888143,early
25,86.96629843,86.96629842571429,0.13117877203706002,0.30879354,0.002626784837508311,early,early,0.8569651177039966,0.1246698935402352,0.018364988754768,0.8569651177039966,early
26,87.80350012,87.80350012,0.13610974631627965,0.30929556,0.003820198767286292,early,early,0.8572830246715882,0.1241511284281319,0.0185658468992799,0.8572830246715882,early
27,88.64070181,88.64070181428572,0.14104072059549935,0.30984277,0.005121039443979861,early,early,0.8570918998430154,0.1240832744322589,0.0188248257237257,0.8570918998430154,early
28,89.47790351,89.47790350857143,0.14597169487471898,0.31028926,0.0061824461319734585,early,early,0.8569078014468149,0.1240050827387425,0.0190871158134426,0.8569078014468149,early
29,90.3151052,90.31510520285714,0.1509026691539386,0.31039134,0.006425113145143711,early,early,0.8569148693947723,0.123749137187361,0.0193359934168665,0.8569148693947723,early
30,91.1523069,91.09346523571428,0.1554870761471252,0.31010622,0.005747319073875039,early,early,0.8572474907555031,0.1233735896246931,0.0193789196188038,0.8572474907555031,early
31,91.98950859,91.81298360857143,0.1597249158626929,0.31003374,0.005575017887407801,early,early,0.8576387628244226,0.123220016989505,0.0191412201850723,0.8576387628244226,early
32,92.82671029,92.47366031857142,0.1636161882838135,0.3103569,0.006343241554885197,early,early,0.8575130451653633,0.1233260380084997,0.019160916825137,0.8575130451653633,early
33,93.25202035,93.07549536857142,0.16716089342731516,0.3106518,0.0070442848756522534,early,early,0.8572026325147336,0.1232419959508027,0.0195553715334637,0.8572026325147336,early
34,93.67733042,93.6184887557143,0.17035903127636987,0.3106452,0.007028595198076668,early,early,0.8574164359787517,0.1231248775451358,0.0194586864751125,0.8574164359787517,early
35,94.10264048,94.10264048285714,0.17321060184780543,0.31085083,0.0075174237435135785,early,early,0.8572513966241427,0.1231522642384562,0.019596339136401,0.8572513966241427,early
36,94.52795055,94.52795054857143,0.17571560513320805,0.3107693,0.0073236086809766576,early,early,0.8573663129881294,0.1230504248457137,0.0195832621651568,0.8573663129881294,early
37,94.95326061,94.95326061428571,0.17822060841861068,0.31063253,0.006998475771579165,early,early,0.8575543346243597,0.1228525446026276,0.0195931207720127,0.8575543346243597,early
38,95.37857068,95.37857068000001,0.18072561170401338,0.31032658,0.006271164126992221,early,early,0.8578806378346199,0.1225834704096293,0.0195358917547507,0.8578806378346199,early
39,95.80388075,95.8038807457143,0.183230614989416,0.31011748,0.005774086614708699,early,early,0.8580147108405106,0.1224827642624082,0.0195025248960812,0.8580147108405106,early
40,96.22919081,96.22919081142858,0.18573561827481863,0.31012213,0.0057851407057279034,early,early,0.8579829899195082,0.1225337520415926,0.0194832580378992,0.8579829899195082,early
41,96.65450088,96.65450087714285,0.18824062156022117,0.31012973,0.005803207607178658,early,early,0.858001997897288,0.1225577119226623,0.0194402901790496,0.858001997897288,early
42,97.07981094,97.07981094285712,0.1907456248456237,0.30962062,0.004592939160126377,early,early,0.8583912745618231,0.1222382829671026,0.0193704424700744,0.8583912745618231,early
43,97.50512101,97.50512100714286,0.19325062812261246,0.30968666,0.004749931024837979,early,early,0.858377668300433,0.1221925657313027,0.0194297659672642,0.858377668300433,early
44,97.93043107,97.93043107285715,0.19575563140801508,0.30943763,0.0041579309632217825,early,early,0.8585971619023091,0.1219907003014055,0.0194121377952854,0.8585971619023091,early
45,98.35574114,98.35574113714286,0.19826063468500363,0.309207,0.0036096718209073704,early,early,0.8589178003765094,0.1217747429068615,0.019307456715629,0.8589178003765094,early
46,98.7810512,98.78105120285714,0.20076563797040625,0.3092773,0.0037767906593268465,early,early,0.8588341583876061,0.1218582974150208,0.019307544196373,0.8588341583876061,early
47,99.20636127,99.20636127285714,0.20327064128105096,0.3092726,0.0037656177071139496,early,early,0.8588206534019234,0.121872018164923,0.0193073284321537,0.8588206534019234,early
48,99.63167133,99.63167133428571,0.2057756445412115,0.30921546,0.0036297831348906903,early,early,0.8588042522635273,0.1218750190517959,0.0193207286836768,0.8588042522635273,early
49,100.0569814,100.05698140000001,0.2082806478266142,0.30946785,0.004229770668727242,early,early,0.8585939581704493,0.1220507871824665,0.0193552546460842,0.8585939581704493,early
50,100.4822915,100.48229147142857,0.2107856511456729,0.30960348,0.004552193542907095,early,early,0.8584410533393168,0.1222038055176799,0.0193551411420033,0.8584410533393168,early
51,100.9076015,100.90760153285714,0.21329065440583345,0.309708,0.004800660982332574,early,early,0.8581936562872067,0.1223362450194598,0.0194700986923335,0.8581936562872067,early
52,101.3329116,101.33291159999999,0.21579565769965003,0.30985945,0.005160691538216513,early,early,0.8580534050898799,0.1224509879553285,0.0194956069537915,0.8580534050898799,early
