run_id,q_true,q_pred,true_stage,pred_stage
12,0.0543003305631503,0.30841658,early,early
13,0.06073574092286961,0.3110891,early,early
14,0.06752073714772493,0.31120992,early,early
15,0.07469686804741528,0.31091222,early,early
16,0.08106227456612462,0.31094438,early,early
17,0.08742768107641992,0.31115308,early,early
18,0.09358816870377357,0.31056365,early,early
19,0.09954373743977155,0.3120317,early,early
20,0.10529438728441383,0.31146237,early,early
21,0.11084011823770042,0.30944452,early,early
22,0.1161809303080454,0.30778018,early,early
23,0.1213168234786207,0.30768856,early,early
24,0.1262477977578404,0.3082663,early,early
25,0.13117877203706002,0.30879354,early,early
26,0.13610974631627965,0.30929556,early,early
27,0.14104072059549935,0.30984277,early,early
28,0.14597169487471898,0.31028926,early,early
29,0.1509026691539386,0.31039134,early,early
30,0.1554870761471252,0.31010622,early,early
31,0.1597249158626929,0.31003374,early,early
32,0.1636161882838135,0.3103569,early,early
33,0.16716089342731516,0.3106518,early,early
34,0.17035903127636987,0.3106452,early,early
35,0.17321060184780543,0.31085083,early,early
36,0.17571560513320805,0.3107693,early,early
37,0.17822060841861068,0.31063253,early,early
38,0.18072561170401338,0.31032658,early,early
39,0.183230614989416,0.31011748,early,early
40,0.18573561827481863,0.31012213,early,early
41,0.18824062156022117,0.31012973,early,early
42,0.1907456248456237,0.30962062,early,early
43,0.19325062812261246,0.30968666,early,early
44,0.19575563140801508,0.30943763,early,early
45,0.19826063468500363,0.309207,early,early
46,0.20076563797040625,0.3092773,early,early
47,0.20327064128105096,0.3092726,early,early
48,0.2057756445412115,0.30921546,early,early
49,0.2082806478266142,0.30946785,early,early
50,0.2107856511456729,0.30960348,early,early
51,0.21329065440583345,0.309708,early,early
52,0.21579565769965003,0.30985945,early,early
53,0.2183006610187089,0.31034297,early,early
54,0.22080566425362733,0.31057817,early,early
55,0.2233106675726861,0.31067303,early,early
56,0.2258156708917448,0.31107557,early,early
57,0.22832067412666315,0.31170356,early,early
58,0.23082567744572202,0.31208268,early,early
59,0.23333068068064047,0.3124793,early,early
60,0.2358356839155588,0.31273922,early,early
61,0.2383406872346176,0.3130735,early,early
62,0.24053334218595268,0.3128292,early,early
63,0.2424136488537044,0.31355837,early,early
64,0.2439816073220131,0.3137321,early,early
65,0.24523721750673852,0.31490836,early,early
66,0.24618047940788057,0.31548768,early,early
67,0.24681139302543928,0.31680593,early,early
68,0.24714276949335398,0.3171714,early,early
69,0.24790901815650443,0.3198522,early,early
70,0.24909710120669995,0.3223141,early,early
71,0.2506934927372599,0.32480612,early,early
72,0.25268421307229905,0.3268025,early,early
73,0.25505486376913605,0.33228207,early,early
74,0.25779066253656135,0.33443183,early,early
75,0.2608636681129916,0.33585265,early,early
76,0.26383637740100463,0.3345486,early,early
77,0.266706110107996,0.3347901,early,early
78,0.26947043466039894,0.33362174,early,early
79,0.2721271695499306,0.33459008,early,early
80,0.27467438493225976,0.33159715,early,early
81,0.2771104033001299,0.33138466,early,early
82,0.2794337993150789,0.3300119,early,early
83,0.2816433994708767,0.33040875,early,early
84,0.28373828099970083,0.33058292,early,early
85,0.2857177701051873,0.3312505,early,early
86,0.28758144027962246,0.33099213,early,early
87,0.28932910935902934,0.3272775,early,early
88,0.29096083666239364,0.33134857,early,early
89,0.292476919541907,0.33018684,early,early
90,0.29387788959664873,0.33249724,early,early
91,0.29516450821314444,0.3338606,early,early
92,0.2963377620217843,0.3340861,early,early
93,0.2973988580166796,0.33365762,early,early
94,0.29834921808653586,0.3331414,early,early
95,0.2991904732089655,0.33512202,early,early
96,0.2999244579813612,0.33714688,middle,early
97,0.30055320388966333,0.34078965,middle,early
98,0.3010789330819709,0.34062564,middle,early
99,0.30150405155316723,0.3494098,middle,middle
100,0.30183114207712725,0.35281166,middle,middle
101,0.3020690494932344,0.3589523,middle,middle
102,0.3022325432192163,0.3646732,middle,middle
103,0.302336046771595,0.37777534,middle,middle
104,0.30239361269184667,0.3847643,middle,middle
105,0.302418898229824,0.38883728,middle,middle
106,0.3024251420368648,0.3938136,middle,middle
107,0.3024251420368648,0.39726377,middle,middle
108,0.3024251420368648,0.38097987,middle,middle
109,0.3024251420368648,0.3915255,middle,middle
110,0.3024251420368648,0.38744736,middle,middle
111,0.3024251420368648,0.3958831,middle,middle
112,0.3024251420368648,0.39136127,middle,middle
113,0.3024251420368648,0.39974964,middle,middle
114,0.3024251420368648,0.39951575,middle,middle
115,0.3024251420368648,0.4056981,middle,middle
116,0.3024251420368648,0.40573922,middle,middle
117,0.3024251420368648,0.41114983,middle,middle
118,0.3024251420368648,0.41953334,middle,middle
119,0.3024251420368648,0.39778233,middle,middle
120,0.3024251420368648,0.41903692,middle,middle
121,0.3024251420368648,0.42005587,middle,middle
122,0.3024251420368648,0.42645273,middle,middle
123,0.3024251420368648,0.4261883,middle,middle
124,0.3024251420368648,0.43308562,middle,middle
125,0.3024251420368648,0.43326184,middle,middle
126,0.3024412137797824,0.437754,middle,middle
127,0.3026364281860637,0.43331897,middle,middle
128,0.30301078517156854,0.43642968,middle,middle
129,0.3035642847362966,0.44468194,middle,middle
130,0.3042969268802481,0.4412253,middle,middle
131,0.30520871168756347,0.4425191,middle,middle
132,0.30629963907410224,0.43919992,middle,middle
133,0.3075536372969468,0.43888494,middle,middle
134,0.3088076355197915,0.43563417,middle,middle
135,0.310061633742636,0.43307406,middle,middle
136,0.3113156319654807,0.4312298,middle,middle
137,0.3125696301883253,0.42987746,middle,middle
138,0.31382362841116995,0.43030164,middle,middle
139,0.31507762663401445,0.42868012,middle,middle
140,0.3163316248568591,0.42632744,middle,middle
141,0.3175856230797036,0.42738637,middle,middle
142,0.31883962130254834,0.42736092,middle,middle
143,0.3200936195253929,0.42821988,middle,middle
144,0.32134761774823756,0.42876065,middle,middle
145,0.3226016159710823,0.42909992,middle,middle
146,0.32385561419392683,0.42858744,middle,middle
147,0.32510961241677144,0.42978978,middle,middle
148,0.32636361063961605,0.43004274,middle,middle
149,0.3276176088624607,0.43056393,middle,middle
150,0.3288716070853052,0.42780825,middle,middle
151,0.3301256053081499,0.4302209,middle,middle
152,0.3313796035309944,0.42877644,middle,middle
153,0.33263360175383916,0.4315061,middle,middle
154,0.3338875999766836,0.43216893,middle,middle
155,0.33514159819952827,0.4339731,middle,middle
156,0.3363955964223728,0.43381295,middle,middle
157,0.33764959464521754,0.43551704,middle,middle
158,0.33892662091897086,0.4366483,middle,middle
159,0.3402266750753522,0.43482205,middle,middle
160,0.3415497572826421,0.43389755,middle,middle
161,0.3428958675408408,0.45037955,middle,middle
162,0.3442650056816676,0.4462752,middle,middle
163,0.34565717187340295,0.4467305,middle,middle
164,0.3470723660319067,0.44993588,middle,middle
165,0.3484875601904105,0.45374623,middle,middle
166,0.34990275443305463,0.45637932,middle,middle
167,0.3513179485915584,0.46138558,middle,middle
168,0.3527331427500622,0.47055346,middle,middle
169,0.35414833690856584,0.4835607,middle,middle
170,0.35556353106706967,0.49388233,middle,middle
171,0.35697872530971375,0.5033934,middle,middle
172,0.3583939194682176,0.5055533,middle,middle
173,0.3598091136267213,0.5136125,middle,middle
174,0.36122430786936544,0.51849055,middle,middle
175,0.3626395020278692,0.5289565,middle,middle
176,0.36405469627051334,0.52098805,middle,middle
177,0.36546989042901706,0.5272335,middle,middle
178,0.36688508458752084,0.52223736,middle,middle
179,0.368300278830165,0.5195219,middle,middle
180,0.3697154729886687,0.50754213,middle,middle
181,0.37113066714717247,0.5027605,middle,middle
182,0.3725458613056763,0.49763444,middle,middle
183,0.37396105546417985,0.4934488,middle,middle
184,0.37537624970682415,0.49716693,middle,middle
185,0.37679144386532776,0.4852418,middle,middle
186,0.37820663802383164,0.47458526,middle,middle
187,0.37962183218233536,0.47047713,middle,middle
188,0.38103702634083914,0.4647055,middle,middle
189,0.38245222058348327,0.46090433,middle,middle
190,0.3842404922043516,0.4567722,middle,middle
191,0.38640184128758426,0.45233768,middle,middle
192,0.3889362679173217,0.4494275,middle,middle
193,0.39184377192528336,0.45533293,middle,middle
194,0.39512435347974995,0.4504533,middle,middle
195,0.39877801249658074,0.44878685,middle,middle
196,0.4028047489757763,0.44513428,middle,middle
197,0.40683148545497166,0.44631132,middle,middle
198,0.41085822193416716,0.4423904,middle,middle
199,0.41488495841336254,0.44125783,middle,middle
200,0.4189116948925581,0.43987042,middle,middle
201,0.4229384313717534,0.44113916,middle,middle
202,0.42696516785094896,0.43986863,middle,middle
203,0.4309919042460039,0.44248894,middle,middle
204,0.43501864072519925,0.43977445,middle,middle
205,0.4390453772043946,0.4453777,middle,middle
206,0.44307211359944976,0.44291887,middle,middle
207,0.44709885007864514,0.4470755,middle,middle
208,0.45112558655784063,0.44635886,middle,middle
209,0.455152323037036,0.45202142,middle,middle
210,0.45917905951623156,0.45175317,middle,middle
211,0.4632057959954269,0.45707557,middle,middle
212,0.46723253247462226,0.45999682,middle,middle
213,0.4712592689538178,0.46648896,middle,middle
214,0.4752860054330132,0.47592893,middle,middle
215,0.4793127419122085,0.46926838,middle,middle
216,0.48333947830726365,0.4926544,middle,middle
217,0.4873662147864592,0.4809557,middle,middle
218,0.49139295126565435,0.49552202,middle,middle
219,0.4954196876607095,0.48672298,middle,middle
220,0.49944642413990487,0.5169382,middle,middle
221,0.5034731606191004,0.5215835,middle,middle
222,0.5080172527216286,0.5435706,middle,middle
223,0.5130787005316301,0.54363286,middle,middle
224,0.5186575039649646,0.56582767,middle,middle
225,0.5247536630216317,0.59940237,late,middle
226,0.5313671777016317,0.61830604,late,late
227,0.5384980480049646,0.6521367,late,late
228,0.5461462739316305,0.6587535,late,late
