sample_id,split,condition,run_id,true_stage,true_stage_id,pred_stage,q_true,q_hat,p_E,p_M,p_L,uncertainty,entropy,misclassified,h_00,h_01,h_02,h_03,h_04,h_05,h_06,h_07,h_08,h_09,h_10,h_11,h_12,h_13,h_14,h_15,h_16,h_17,h_18,h_19,h_20,h_21,h_22,h_23,h_24,h_25,h_26,h_27,h_28,h_29,h_30,h_31,h_32,h_33,h_34,h_35,h_36,h_37,h_38,h_39,h_40,h_41,h_42,h_43,h_44,h_45,h_46,h_47,h_48,h_49,h_50,h_51,h_52,h_53,h_54,h_55,h_56,h_57,h_58,h_59,h_60,h_61,h_62,h_63
test_C6_00000,test_C6,C6,12,early,0,early,0.0543003305631503,0.3084273636341095,0.9538523554801941,0.03144493326544762,0.014702673070132732,0.04614764451980591,0.19651302983257865,0,0.0,1.3692562580108643,2.484408378601074,0.0,0.0,1.8800151348114014,0.7957918047904968,2.178091287612915,0.6504619717597961,0.0,0.0,0.0,0.0,0.1896764039993286,2.3929622173309326,1.2873528003692627,0.1349978893995285,0.0,2.4875400066375732,0.011839162558317184,0.0,0.0,0.0,2.142536163330078,0.1405152827501297,0.3295261263847351,0.0,0.0,0.0,0.16389530897140503,0.0,3.3417649269104004,0.04315909743309021,0.7974453568458557,0.0,0.0,0.0,0.0,0.0,0.15974438190460205,0.0,2.3399953842163086,0.0,0.0,0.0,0.005472995340824127,0.0,0.0,2.535252571105957,0.0,0.6366977691650391,0.0,0.0,0.0,0.005648061633110046,0.0,1.6474512815475464,1.5335086584091187,0.0,0.740720272064209,0.0,0.0,0.0,1.6150108575820923
test_C6_00001,test_C6,C6,13,early,0,early,0.06073574092286961,0.31106698513031006,0.9517534971237183,0.03325588256120682,0.014990651980042458,0.04824650287628174,0.20318024151548908,0,0.0,1.3406012058258057,2.4773447513580322,0.0,0.0,1.878226637840271,0.7680450677871704,2.1516807079315186,0.6768200397491455,0.0,0.0,0.0,0.0,0.19038408994674683,2.3680243492126465,1.2857691049575806,0.12199686467647552,0.0,2.480844736099243,2.1491199731826782e-05,0.0,0.0,0.0,2.103888511657715,0.11110477149486542,0.3264877200126648,0.0,0.0,0.0,0.16110453009605408,0.0,3.3014492988586426,0.036802105605602264,0.7809505462646484,0.0,0.0,0.0,0.0,0.0,0.1297057718038559,0.0,2.319774866104126,0.0,0.0,0.0,0.04423937201499939,0.0,0.0,2.489356517791748,0.0,0.6574984192848206,0.0,0.0,0.0,0.025593198835849762,0.0,1.6185063123703003,1.5041214227676392,0.0,0.7381303906440735,0.0,0.0,0.0,1.6108074188232422
test_C6_00002,test_C6,C6,14,early,0,early,0.06752073714772493,0.3111720383167267,0.9515602588653564,0.03366217389702797,0.014777629636228085,0.048439741134643555,0.2036121072221683,0,0.0,1.3319339752197266,2.4904379844665527,0.0,0.0,1.881381869316101,0.7532322406768799,2.1514623165130615,0.7100434303283691,0.0,0.0,0.0,0.0,0.18474966287612915,2.3631229400634766,1.303085207939148,0.12129407376050949,0.0,2.4998111724853516,0.0,0.0,0.0,0.0,2.0982625484466553,0.09668930619955063,0.3328555226325989,0.0,0.0,0.0,0.15665864944458008,0.0,3.3036389350891113,0.0338045135140419,0.7683300971984863,0.0,0.0,0.0,0.0,0.0,0.11537311971187592,0.0,2.3200693130493164,0.0,0.0,0.0,0.07308158278465271,0.0,0.0,2.4751672744750977,0.0,0.6772390007972717,0.0,0.0,0.0,0.03329744189977646,0.0,1.6145820617675781,1.5022889375686646,0.0,0.7495361566543579,0.0,0.0,0.0,1.625338077545166
test_C6_00003,test_C6,C6,15,early,0,early,0.07469686804741528,0.310904860496521,0.9503916501998901,0.034826695919036865,0.014781702309846878,0.04960834980010986,0.20715097812869984,0,0.0,1.308038592338562,2.4829461574554443,0.0,0.0,1.893155813217163,0.7435159683227539,2.1371405124664307,0.7415638566017151,0.0,0.0,0.0,0.0,0.1750795841217041,2.3499889373779297,1.3286426067352295,0.1350085735321045,0.010107800364494324,2.523969888687134,0.0,0.0,0.0,0.0,2.0867326259613037,0.07594236731529236,0.3463268280029297,0.0,0.0,0.0,0.140228271484375,0.0,3.2914228439331055,0.03630822151899338,0.7434829473495483,0.0,0.0,0.0,0.0,0.0,0.09707796573638916,0.0,2.309303045272827,0.0,0.0,0.0,0.12483550608158112,0.0,0.0,2.464057445526123,0.0,0.7145228981971741,0.0,0.0,0.0,0.05174291133880615,0.0,1.6126660108566284,1.473287582397461,0.0,0.747859537601471,0.0,0.0,0.0,1.6318836212158203
test_C6_00004,test_C6,C6,16,early,0,early,0.08106227456612462,0.31101539731025696,0.9494444131851196,0.03589019551873207,0.014665444381535053,0.05055558681488037,0.2098957261271078,0,0.0,1.2936755418777466,2.482848644256592,0.0,0.0,1.8977751731872559,0.7269212603569031,2.1321184635162354,0.7782915234565735,0.0,0.0,0.0,0.0,0.18063601851463318,2.341789722442627,1.3435773849487305,0.12731465697288513,0.01938030868768692,2.5455477237701416,0.0,0.0,0.0,0.0,2.0794200897216797,0.06502024829387665,0.34873291850090027,0.0,0.0,0.0,0.13382592797279358,0.0,3.277829885482788,0.02953631430864334,0.7248972654342651,0.0,0.0,0.0,0.0,0.0,0.07733681797981262,0.0,2.3053653240203857,0.0,0.0,0.0,0.16155411303043365,0.0,0.0,2.448873996734619,0.0,0.7334058880805969,0.0,0.0,0.0,0.06046942621469498,0.0,1.6014742851257324,1.4568893909454346,0.0,0.7542838454246521,0.0,0.0,0.0,1.6375973224639893
test_C6_00005,test_C6,C6,17,early,0,early,0.08742768107641992,0.3112186789512634,0.9472103714942932,0.03802559897303581,0.014763975515961647,0.05278962850570679,0.21657694903096675,0,0.0,1.2625089883804321,2.465813159942627,0.0,0.0,1.8964000940322876,0.7019126415252686,2.1145448684692383,0.8231479525566101,0.0,0.0,0.0,0.0,0.18823766708374023,2.330784797668457,1.355713963508606,0.11521688103675842,0.027371257543563843,2.5658929347991943,0.0,0.0,0.0,0.0,2.0582802295684814,0.04784095287322998,0.35495850443840027,0.0,0.0,0.0,0.11628019064664841,0.0,3.237720489501953,0.01686401665210724,0.710140585899353,0.0,0.0,0.0,0.0,0.0,0.05433442443609238,0.0,2.2886765003204346,0.0,0.0,0.0,0.21570457518100739,0.0,0.0,2.4203600883483887,0.0,0.7689111232757568,0.0,0.0,0.0,0.05899757519364357,0.0,1.5819083452224731,1.4205926656723022,0.0,0.756643533706665,0.0,0.0,0.0,1.634822130203247
test_C6_00006,test_C6,C6,18,early,0,early,0.09358816870377357,0.310677707195282,0.9462599754333496,0.039116185158491135,0.014623772352933884,0.05374002456665039,0.21922253339302009,0,0.0,1.246850848197937,2.468684196472168,0.0,0.0,1.8999422788619995,0.6769203543663025,2.111243486404419,0.8546357154846191,0.0,0.0,0.0,0.0,0.18692250549793243,2.324794292449951,1.3663731813430786,0.10739661008119583,0.03525886684656143,2.5931262969970703,0.0,0.0,0.0,0.0,2.0434179306030273,0.04552672058343887,0.36185550689697266,0.0,0.0,0.0,0.10965185612440109,0.0,3.22186017036438,0.007010690867900848,0.6983799338340759,0.0,0.0,0.0,0.0,0.0,0.03802071511745453,0.0,2.2816576957702637,0.0,0.0,0.0,0.24765674769878387,0.0,0.0,2.4037256240844727,0.0,0.7891420125961304,0.0,0.0,0.0,0.05611307919025421,0.0,1.578657627105713,1.3998652696609497,0.0,0.7786195278167725,0.0,0.0,0.0,1.6414477825164795
test_C6_00007,test_C6,C6,19,early,0,early,0.09954373743977155,0.3121246099472046,0.9431028962135315,0.042058151215314865,0.01483893021941185,0.056897103786468506,0.2284663448593353,0,0.0,1.2406525611877441,2.452735185623169,0.0,0.0,1.8868132829666138,0.6506214141845703,2.0919814109802246,0.9083254933357239,0.0,0.0,0.0,0.010601982474327087,0.20287877321243286,2.3145062923431396,1.3554298877716064,0.0953415185213089,0.05596233159303665,2.6141560077667236,0.0,0.0,0.0,0.0,2.008105993270874,0.033155567944049835,0.3496446907520294,0.0,0.0,0.0,0.09716277569532394,0.0,3.1654345989227295,0.0,0.6805689930915833,0.0,0.0,0.0,0.0,0.0,0.02171975187957287,0.0,2.2613561153411865,0.0,0.0,0.0,0.29114675521850586,0.0,0.0,2.352248191833496,0.0,0.8228092789649963,0.0,0.0,0.0,0.053738467395305634,0.0,1.5433844327926636,1.3654639720916748,0.0,0.7914219498634338,0.0,0.0,0.0,1.6374589204788208
test_C6_00008,test_C6,C6,20,early,0,early,0.10529438728441383,0.3115330934524536,0.9424165487289429,0.042737387120723724,0.01484598033130169,0.05758345127105713,0.23041074424737834,0,0.0,1.2390791177749634,2.451068639755249,0.0,0.0,1.8815360069274902,0.6377208828926086,2.091839075088501,0.9206968545913696,0.0,0.0,0.0,0.014183450490236282,0.2102821171283722,2.3100779056549072,1.3528670072555542,0.08779867738485336,0.05710580199956894,2.627234697341919,0.0,0.0,0.0,0.0,1.9981721639633179,0.03769344463944435,0.34875670075416565,0.0,0.0,0.0,0.09222670644521713,0.0,3.1495707035064697,0.0,0.6821855902671814,0.0,0.0,0.0,0.0,0.0,0.017722776159644127,0.0,2.2534821033477783,0.0,0.0,0.0,0.29407018423080444,0.0,0.0,2.3429031372070312,0.0,0.8286872506141663,0.0,0.0,0.0,0.03912701457738876,0.0,1.5343220233917236,1.3555408716201782,0.0,0.8032431602478027,0.0,0.0,0.0,1.6367512941360474
test_C6_00009,test_C6,C6,21,early,0,early,0.11084011823770042,0.3095632791519165,0.9472193717956543,0.03794702887535095,0.014833622612059116,0.0527806282043457,0.21661051899403305,0,0.0,1.2860476970672607,2.479701280593872,0.0,0.0,1.8762394189834595,0.6734565496444702,2.1397316455841064,0.8372105956077576,0.0,0.0,0.0,0.0,0.18363338708877563,2.3222806453704834,1.3228429555892944,0.10570364445447922,0.0074174851179122925,2.6024155616760254,0.0,0.0,0.0,0.0,2.034604072570801,0.09040297567844391,0.3452369272708893,0.0,0.0,0.0,0.11426607519388199,0.0,3.222487211227417,0.0,0.7225586771965027,0.0,0.0,0.0,0.0,0.0,0.0744040459394455,0.0,2.2752630710601807,0.0,0.0,0.0,0.19302313029766083,0.0,0.0,2.3983750343322754,0.0,0.7449775338172913,0.0,0.0,0.0,0.013796202838420868,0.0,1.575844645500183,1.4274345636367798,0.0,0.8004012703895569,0.0,0.0,0.0,1.6471689939498901
