sample_id,split,condition,run_id,true_stage,pred_stage,q_true,q_hat,uncertainty,entropy,misclassified,PC1,PC2
final_train_00000,final_train,C1,12,early,early,0.1932077187551013,0.3069212138652801,0.0450387597084045,0.1929859185858363,0,-6.662156033857753,0.999338184338581
final_train_00001,final_train,C1,13,early,early,0.2101847712464187,0.3075820207595825,0.0453616380691528,0.1940939308213459,0,-5.111282904980286,1.8566382537027744
final_train_00002,final_train,C1,14,early,early,0.2253597093096253,0.3065766096115112,0.0452011227607727,0.1935331022020063,0,-5.644051548406934,1.0416353274709476
final_train_00003,final_train,C1,15,early,early,0.2388500265425312,0.3061904907226562,0.0451727509498596,0.1934157090584351,0,-5.6125478745844966,0.7636980126478221
final_train_00004,final_train,C1,16,early,early,0.2507679649311761,0.3063053786754608,0.0452972054481506,0.1938784862583782,0,-5.341984621454891,1.2586923691834742
final_train_00005,final_train,C1,17,early,early,0.2612206852652242,0.3065139353275299,0.0453401803970336,0.1941054327723278,0,-5.407306490317487,1.1544573214353047
final_train_00006,final_train,C1,18,early,early,0.2703104335047634,0.3062337934970855,0.0453397631645202,0.1941990488875131,0,-5.459969517699085,1.4263079455411962
final_train_00007,final_train,C1,19,early,early,0.2781347032038214,0.3062550127506256,0.0453216433525085,0.1941927824944074,0,-5.792707466880071,1.211369946012704
final_train_00008,final_train,C1,20,early,early,0.284786393978896,0.3062621653079986,0.0452966690063476,0.1941702940100583,0,-5.857263869170787,1.0934240634056356
final_train_00009,final_train,C1,21,early,early,0.290353966081007,0.3087629079818725,0.0463314056396484,0.1979313505994137,0,-4.4124540322917225,3.3311545584213467
final_train_00010,final_train,C1,22,early,early,0.2949215912584859,0.3083017766475677,0.0459238290786743,0.1964951936703838,0,-4.770872079299431,2.172022397842903
final_train_00011,final_train,C1,23,early,early,0.2985692998285967,0.3081865012645721,0.0459142923355102,0.1964317837401474,0,-4.708723253240566,1.9196728043706208
final_train_00012,final_train,C1,24,early,early,0.3013731241569073,0.3086109161376953,0.0460733175277709,0.1969875938195538,0,-4.6169631669970075,2.2944726824543253
final_train_00013,final_train,C1,25,early,early,0.3034055671124052,0.308933824300766,0.0464414358139038,0.1983115660356459,0,-4.736491462952596,1.9510278465264737
final_train_00014,final_train,C1,26,early,early,0.304808296554342,0.3086951971054077,0.0463070273399353,0.1978520169776058,0,-4.642505582054831,2.012403799624169
final_train_00015,final_train,C1,27,early,early,0.3057115883934917,0.3088741302490234,0.0464662909507751,0.1984252970014281,0,-4.874457023911545,1.9782010451012173
final_train_00016,final_train,C1,28,early,early,0.3062348967301653,0.3089090585708618,0.0464434027671813,0.1983444035631544,0,-4.993831687376651,1.8093662909975765
final_train_00017,final_train,C1,29,early,early,0.3064874039598791,0.3099898993968963,0.0469799637794494,0.2002057800243575,0,-4.973337595554765,1.7770377935329515
final_train_00018,final_train,C1,30,early,early,0.3065685515019318,0.3095602989196777,0.0468138456344604,0.199624280445942,0,-4.7793910935484005,1.882396003728249
final_train_00019,final_train,C1,31,early,early,0.3065685515019318,0.3097630441188812,0.0468005537986755,0.1995814194021886,0,-5.11850430739664,1.7343872151038582
final_train_00020,final_train,C1,32,early,early,0.3065685515019318,0.3098668754100799,0.0467878580093383,0.1995551195402146,0,-4.928386940572023,1.79461439548918
final_train_00021,final_train,C1,33,early,early,0.3065685515019318,0.3093853294849396,0.0464153289794921,0.1980809980347715,0,-4.832268236593535,-0.010330155639521403
final_train_00022,final_train,C1,34,early,early,0.3065685515019318,0.3089742958545685,0.0460484623908996,0.1968054072563593,0,-6.1795211684713705,0.6639075430528432
final_train_00023,final_train,C1,35,early,early,0.3065685515019318,0.3087579011917114,0.0458760857582092,0.1961382262813014,0,-6.309909414398631,0.3977000060176991
final_train_00024,final_train,C1,36,early,early,0.3065685515019318,0.308780699968338,0.0457567572593688,0.1956669853815792,0,-6.262060585622902,0.5192598791543022
final_train_00025,final_train,C1,37,early,early,0.3065685515019318,0.3090350031852722,0.0457549691200256,0.1955992757833461,0,-6.222368162488793,0.6782442406489102
final_train_00026,final_train,C1,38,early,early,0.3065685515019318,0.308789849281311,0.0455291867256164,0.1948459793757597,0,-6.548165381825781,0.7472071335491502
final_train_00027,final_train,C1,39,early,early,0.3065685515019318,0.3085843324661255,0.0454654693603515,0.1945453552701429,0,-6.428031622488408,0.66392630269729
final_train_00028,final_train,C1,40,early,early,0.3065685515019318,0.3084124624729156,0.0453826785087585,0.1942207235545757,0,-6.019651344638557,0.8400253750142362
final_train_00029,final_train,C1,41,early,early,0.3065685515019318,0.3086057901382446,0.0455585122108459,0.1947159720642484,0,-6.069630398201813,0.804978061933182
final_train_00030,final_train,C1,42,early,early,0.306573991186115,0.3079460263252258,0.0453690886497497,0.1941021368123177,0,-6.367317434301838,0.9448402210241722
final_train_00031,final_train,C1,43,early,early,0.3071984571013968,0.3077532649040222,0.0453950762748718,0.1941527155566709,0,-6.510804450408144,1.0237208325579734
final_train_00032,final_train,C1,44,early,early,0.3084141906933186,0.3074972331523895,0.0454429984092712,0.1943103790923003,0,-5.81294816660544,1.110650435832665
final_train_00033,final_train,C1,45,early,early,0.3101936943077262,0.3072044253349304,0.0451809167861938,0.1934864297806281,0,-5.887060633096419,0.8956865493402817
